Proband;Alter;Alter_Gruppe;Geschlecht;Bildung;PC_Nutzung_pJ;PC_Nutzung_bJ;PC_Nutzung_pS;PC_Nutzung_bS;Kenntnisse_Betriebssystem;Kenntnisse_Internet;Kenntnisse_Programme;Betriebssystem_Win;Betriebssystem_Mac;Betriebssystem_Linux;Betriebssystem_Andere;Schwere;bekannt;UrsacheNennen;Lokation;Stabilitaet;Kontrollierbarkeit;Globalitaet;Aufgabe
1;22;1;2;5;14;8;4;6;4;6;5;1;1;0;0;7;7;Übersicht nicht gut;1;7;4;5;2
1;22;1;2;5;14;8;4;6;4;6;5;1;1;0;0;7;7;Weil ich die Funktion nicht gefunden habe!;1;6;2;5;4
1;22;1;2;5;14;8;4;6;4;6;5;1;1;0;0;7;7;Es war nicht da, wo ich es erwartet habe;6;2;2;3;6
2;22;1;2;5;9;8;2;3;4;2;3;1;0;0;0;4;2;Überblick hat gefehlt in de kurzen Zeit;6;7;6;6;2
2;22;1;2;5;9;8;2;3;4;2;3;1;0;0;0;1;7;Ich habe das Zeichen der Währung zwar gefunden, konnte sie jedoch nicht abrufen.;7;6;7;3;3
2;22;1;2;5;9;8;2;3;4;2;3;1;0;0;0;1;7;Gleiches Problem wie bei der Währung.;7;7;7;3;4
2;22;1;2;5;9;8;2;3;4;2;3;1;0;0;0;2;7;Das Ergebnis wurde angezeigt, aber nicht die Differenz;7;7;6;5;6
3;51;3;1;6;25;32;1;9;7;6;4;1;0;0;0;4;7;Das Auffinden der Seite, wo es hätte stehen sollen schien mir sehr einfach zu sein. Die gesuchte Bauordnung selbst konnte ich jedoch in der vorgeg. zeit nicht finden.;6;7;7;6;2
3;51;3;1;6;25;32;1;9;7;6;4;1;0;0;0;7;4;"Es gelang mir nicht, das allgemeine Menü für die Formatierung von Texten in Zellen zu finden. Die rechte Maustaste funkionierte nicht; in der Symbolleiste war nur das einfach Unterstreichen verfügbar.";4;4;3;7;4
3;51;3;1;6;25;32;1;9;7;6;4;1;0;0;0;7;7;Es war für mich nicht erkennbar, wo sich die gesuchte Funktionalität verbirgt.;5;4;4;5;6
4;22;1;1;5;12;10;2;5;5;5;3;0;1;0;0;5;6;unübersichtliche struktur der Website;5;6;5;5;2
4;22;1;1;5;12;10;2;5;5;5;3;0;1;0;0;4;6;Erwartete Funktion im Programm hat nicht funktioniert.;5;6;5;3;4
4;22;1;1;5;12;10;2;5;5;5;3;0;1;0;0;6;7;Auf vermuteter Unterseite keine geeignete Funktion gefunden.;5;5;6;3;6
5;25;1;1;5;12;9;3;3;7;7;6;1;1;1;0;7;2;Information wurde nicht gefunden;7;5;4;2;2
5;25;1;1;5;12;9;3;3;7;7;6;1;1;1;0;6;2;Funktion wurde weder im Menü noch in der Symbolleiste gefunden. Rechte MT war deaktiviert, dort hätte ich auch noch eine Funktion vermutet.;4;5;5;3;4
5;25;1;1;5;12;9;3;3;7;7;6;1;1;1;0;3;7;Absolute Gewichtsangaben konnten angezeigt werden, aber die Möglichkeit, die Differenz auszurechnen, wurde nicht gefunden.;5;3;2;6;6
6;35;2;1;3;15;13;3;1;5;5;3;1;1;0;0;7;2;nicht gefunden weil zu unübersichtlich;6;7;1;2;2
6;35;2;1;3;15;13;3;1;5;5;3;1;1;0;0;7;6;konnte die Aufgabe nicht lösen, da ich nicht fündig geworden bin wie man doppelt unterstreicht;2;7;2;4;4
6;35;2;1;3;15;13;3;1;5;5;3;1;1;0;0;7;7;konnte nichts finden um das Gewicht zusammen zu rechnen;6;7;2;6;6
7;27;2;2;5;12;12;1;1;3;5;4;1;0;0;0;4;7;Die Öffnungszeiten sind nicht unter 'Öffnungszeiten' zu finden.;3;6;4;7;1
7;27;2;2;5;12;12;1;1;3;5;4;1;0;0;0;7;7;Thema zu fremd. Ich konnte die BEgriffe nicht auf der Seite umsetzten.;1;5;4;6;2
7;27;2;2;5;12;12;1;1;3;5;4;1;0;0;0;7;7;Ich habe die Funktion zum doppelt Unterstreichen nicht gefunden.;4;4;3;5;4
7;27;2;2;5;12;12;1;1;3;5;4;1;0;0;0;7;7;Aufgabe nicht im Program gefunden.;1;7;4;5;6
8;31;2;1;5;15;13;4;5;5;6;5;1;0;1;0;7;4;Wie bei der ersten Aufgabe ist das Menü inklusive Unterpunkte wesentlich überladen und für unregelmäßige Besucher ist nicht klar, wo bestimmte Informationen zu finden sind.;6;6;6;6;2
8;31;2;1;5;15;13;4;5;5;6;5;1;0;1;0;6;7;Konnte keine Einstellung/kein Menü für diese Information finden.;4;6;4;6;6
9;17;1;2;3;13;7;3;1;5;7;4;1;0;0;0;6;4;zu geballte Informationen;6;4;2;5;2
9;17;1;2;3;13;7;3;1;5;7;4;1;0;0;0;5;6;gesuchte Funktion nicht gefunden;3;2;1;2;4
9;17;1;2;3;13;7;3;1;5;7;4;1;0;0;0;4;7;App ist nicht gut aufgebaut;5;4;3;3;6
10;26;2;2;5;16;14;1;1;5;7;3;1;0;0;0;7;4;unübersichtlich  keine Erfahrungen in Bereich Bau;3;6;2;6;2
10;26;2;2;5;16;14;1;1;5;7;3;1;0;0;0;7;7;Ich kenne das Programm nicht  Button nicht gefunden;2;5;1;7;4
10;26;2;2;5;16;14;1;1;5;7;3;1;0;0;0;7;7;Ich kenne die App nicht.   Menü-Button erst spät gefunden;1;1;1;4;6
11;75;3;2;6;14;10;1;2;1;6;1;0;1;0;0;7;6;ohne schnellsuche bauordnung nicht gefunden, stadtteilsuche vergessen;4;7;6;7;2
11;75;3;2;6;14;10;1;2;1;6;1;0;1;0;0;7;7;ich wusste nicht, wo ich nachlösung sollte.  Beschreibung der hilfe kompliziert;3;3;1;5;3
11;75;3;2;6;14;10;1;2;1;6;1;0;1;0;0;7;7;kein lösung gefunden;1;7;4;5;4
